Country,Providence/State,Latitude,Longitude,January,February,March,April,May,June,July,August,September,October,November,December
Afganistan,,33.9391,67.71,0.00%,0.00%,2.29%,3.01%,1.70%,2.39%,3.50%,3.68%,3.72%,3.71%,3.88%,4.23%
Albania,,41.1533,20.1683,0.00%,0.00%,6.17%,4.01%,2.90%,2.45%,2.98%,2.99%,2.84%,2.44%,2.12%,2.05%
Algeria,,28.0339,1.6596,0.00%,0.00%,6.15%,11.23%,6.95%,6.56%,3.98%,3.39%,3.37%,3.39%,2.92%,2.78%
Andorra,,42.5063,1.5218,0.00%,0.00%,3.19%,5.64%,6.68%,6.08%,5.62%,4.51%,2.59%,1.58%,1.13%,1.06%
Angola,,-11.2027,17.8739,0.00%,0.00%,28.57%,7.41%,4.65%,4.58%,4.53%,4.07%,3.68%,2.63%,2.30%,2.31%
Antigua and Barbuda,,17.0608,-61.7964,0.00%,0.00%,0.00%,12.50%,11.54%,4.35%,3.30%,3.19%,2.97%,2.34%,2.84%,3.23%
Argentina,,-38.4161,-63.6167,0.00%,0.00%,2.56%,4.92%,3.20%,2.03%,1.85%,2.07%,2.26%,2.66%,2.72%,2.69%
Armenia,,40.0691,45.0382,0.00%,0.00%,0.56%,1.55%,1.41%,1.73%,1.91%,2.01%,1.90%,1.49%,1.60%,1.75%
Australia,Australian Capital Territory,-35.4735,149.0124,0.00%,0.00%,1.25%,2.83%,2.80%,2.78%,2.65%,2.65%,2.65%,2.63%,2.56%,2.54%
,New South Wales,-31.2532,146.9211,0.00%,0.00%,0.39%,1.36%,1.55%,1.53%,1.33%,1.28%,1.25%,1.20%,1.16%,1.11%
,Northern Territory,-19.4914,132.551,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
,Queensland,-20.9176,142.7028,0.00%,0.00%,0.27%,0.58%,0.66%,0.56%,0.55%,0.53%,0.52%,0.51%,0.50%,0.48%
,South Australia,-30.0002,136.2092,0.00%,0.00%,0.00%,0.91%,0.91%,0.90%,0.89%,0.86%,0.85%,0.80%,0.71%,0.70%
,Tasmania,-41.4545,145.9707,0.00%,0.00%,1.45%,5.88%,5.70%,5.70%,5.68%,5.65%,5.65%,5.65%,5.65%,5.56%
,Victoria,-37.4713,144.7852,0.00%,0.00%,0.44%,1.32%,1.15%,0.90%,1.06%,2.98%,3.96%,4.03%,4.03%,4.03%
,Western Australia,-27.6728,121.6283,0.00%,0.00%,0.55%,1.45%,1.53%,1.47%,1.35%,1.37%,1.31%,1.17%,1.10%,1.05%
Austria,,47.5162,14.5501,0.00%,0.00%,1.26%,3.78%,3.99%,3.97%,3.40%,2.67%,1.78%,1.06%,1.13%,1.67%
Azerbaijan,,40.1431,47.5769,0.00%,0.00%,1.68%,1.33%,1.15%,1.22%,1.41%,1.47%,1.47%,1.32%,1.15%,1.16%
Bahamas,,25.0343,-77.3963,0.00%,0.00%,0.00%,13.58%,10.78%,10.58%,2.44%,2.26%,2.33%,2.14%,2.16%,2.17%
Bahrain,,26.0667,50.5577,0.00%,0.00%,0.71%,0.26%,0.17%,0.33%,0.36%,0.37%,0.35%,0.39%,0.39%,0.38%
Bangladesh,,23.685,90.3563,0.00%,0.00%,9.80%,2.19%,1.38%,1.27%,1.31%,1.37%,1.44%,1.45%,1.43%,1.46%
Barbados,,13.1939,-59.5432,0.00%,0.00%,0.00%,8.64%,7.61%,7.22%,6.36%,4.02%,3.68%,2.95%,2.54%,1.97%
Belarus,,53.7098,27.9534,0.00%,0.00%,0.66%,0.63%,0.55%,0.63%,0.82%,0.95%,1.06%,1.00%,0.85%,0.74%
Belgium,,50.5039,4.4699,0.00%,0.00%,5.52%,15.65%,16.22%,15.87%,14.31%,11.61%,8.46%,2.71%,2.88%,3.01%
Belize,,17.1899,-88.4976,0.00%,0.00%,0.00%,11.11%,11.11%,8.33%,4.17%,1.29%,1.36%,1.69%,2.53%,2.21%
Benin,,9.3077,2.3158,0.00%,0.00%,0.00%,1.56%,1.29%,1.75%,1.99%,1.86%,1.74%,1.55%,1.43%,1.37%
Bhutan,,27.5142,90.4336,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Bolivia,,-16.2902,-63.5887,0.00%,0.00%,5.61%,5.31%,3.14%,3.38%,3.88%,4.31%,5.89%,6.15%,6.19%,5.88%
Bosnia and Herzegovina,,43.9159,17.6791,0.00%,0.00%,3.10%,3.93%,6.10%,4.18%,2.85%,3.05%,3.12%,2.46%,3.05%,3.60%
Botswana,,-22.3285,24.6849,0.00%,0.00%,25.00%,4.35%,2.86%,0.44%,0.25%,0.37%,0.50%,0.36%,0.32%,0.29%
Brazil,,-14.235,-51.9253,0.00%,0.00%,3.52%,6.89%,5.69%,4.25%,3.47%,3.11%,2.99%,2.89%,2.73%,2.55%
Brunei,,4.5353,114.7277,0.00%,0.00%,0.78%,0.72%,1.42%,2.13%,2.13%,2.08%,2.05%,2.03%,2.00%,1.97%
Bulgaria,,42.7339,25.4858,0.00%,0.00%,2.01%,4.38%,5.57%,4.61%,3.28%,3.87%,3.96%,2.42%,2.78%,3.62%
Burkina Faso,,12.2383,-1.5616,0.00%,0.00%,5.36%,6.67%,6.26%,5.51%,4.79%,4.02%,2.82%,2.68%,2.36%,1.23%
Burma,,21.9162,95.956,0.00%,0.00%,6.67%,3.97%,2.68%,2.01%,1.70%,0.68%,2.32%,2.35%,2.14%,2.13%
Burundi,,-3.3731,29.9189,0.00%,0.00%,0.00%,9.09%,1.59%,0.59%,0.26%,0.22%,0.20%,0.17%,0.15%,0.25%
Cabo Verde,,16.5388,-23.0418,0.00%,0.00%,16.67%,0.83%,0.92%,1.22%,0.94%,1.03%,1.00%,1.08%,0.98%,0.96%
Cambodia,,12.5657,104.991,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Cameroon,,7.3697,12.3547,0.00%,0.00%,3.11%,3.33%,3.24%,2.49%,2.27%,2.15%,2.01%,1.95%,1.79%,1.70%
Canada,Alberta,53.9333,-116.5765,0.00%,0.00%,1.16%,1.68%,2.04%,1.90%,1.81%,1.72%,1.48%,1.17%,0.93%,0.95%
,British Columbia,53.7267,-127.6476,0.00%,0.00%,2.37%,5.26%,6.37%,5.97%,5.36%,3.59%,2.56%,1.83%,1.33%,1.66%
,Manitoba,53.7609,-98.8139,0.00%,0.00%,0.97%,2.17%,2.37%,2.15%,1.93%,1.15%,1.00%,1.17%,1.85%,2.67%
,New Brunswick,46.5653,-66.4619,0.00%,0.00%,0.00%,0.00%,0.00%,1.21%,1.18%,1.05%,1.00%,1.75%,1.40%,1.35%
,Newfoundland and Labrador,53.1355,-57.6604,0.00%,0.00%,0.66%,1.16%,1.15%,1.15%,1.13%,1.12%,1.09%,1.37%,1.18%,1.03%
,Northwest Territories,64.8255,-124.8457,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
,Nova Scotia,44.682,-63.7443,0.00%,0.00%,0.00%,2.96%,5.68%,5.93%,5.99%,5.99%,5.97%,5.86%,4.98%,4.44%
,Nunavut,70.2998,-83.1076,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.38%
,Ontario,51.2538,-85.3232,0.00%,0.00%,1.68%,6.93%,7.98%,7.39%,6.85%,6.45%,5.36%,4.06%,3.06%,2.50%
,Prince Edward Island,46.5107,-63.4168,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
,Quebec,46.8139,-71.208,0.00%,0.00%,0.74%,6.75%,9.09%,9.92%,9.57%,9.22%,7.85%,5.89%,4.96%,4.16%
,Saskatchewan,52.9399,-106.4509,0.00%,0.00%,1.09%,1.80%,1.70%,1.66%,1.36%,1.48%,1.25%,0.80%,0.55%,0.95%
,Yukon,64.2823,-135,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,4.35%,2.13%,1.67%
Central African Republic,,6.6111,20.9394,0.00%,0.00%,0.00%,0.00%,0.20%,1.26%,1.28%,1.32%,1.28%,1.27%,1.28%,1.27%
Chad,,15.4542,18.7322,0.00%,0.00%,0.00%,6.85%,8.35%,8.55%,8.01%,7.60%,7.08%,6.61%,5.98%,5.19%
Chile,,-35.6751,-71.543,0.00%,0.00%,0.42%,1.28%,0.85%,2.04%,2.66%,2.74%,2.75%,2.78%,2.79%,2.74%
China,Anhui,30.6007,117.9249,0.00%,0.61%,0.61%,0.61%,0.61%,0.61%,0.61%,0.61%,0.61%,0.61%,0.60%,0.60%
,Beijing,39.9042,116.4074,0.72%,1.95%,1.38%,1.52%,1.52%,0.98%,0.96%,0.96%,0.96%,0.96%,0.95%,0.93%
,Chongqing,29.4316,106.9123,0.00%,1.04%,1.04%,1.04%,1.04%,1.03%,1.03%,1.03%,1.03%,1.02%,1.02%,1.02%
,Fujian,26.4837,117.9249,0.00%,0.34%,0.29%,0.28%,0.28%,0.28%,0.27%,0.26%,0.24%,0.23%,0.20%,0.20%
,Gansu,35.7518,104.2861,0.00%,2.20%,1.45%,1.44%,1.44%,1.22%,1.20%,1.18%,1.18%,1.13%,1.10%,1.10%
,Guangdong,23.379,113.7633,0.00%,0.52%,0.54%,0.50%,0.50%,0.49%,0.48%,0.46%,0.44%,0.42%,0.40%,0.39%
,Guangxi,23.7248,108.8076,0.00%,0.79%,0.79%,0.79%,0.79%,0.79%,0.78%,0.78%,0.77%,0.77%,0.76%,0.76%
,Guizhou,26.843,107.2903,0.00%,1.37%,1.37%,1.36%,1.36%,1.36%,1.36%,1.36%,1.36%,1.36%,1.36%,1.36%
,Hainan,19.5664,109.9497,1.92%,2.98%,3.57%,3.57%,3.55%,3.51%,3.51%,3.51%,3.51%,3.51%,3.51%,3.51%
,Hebei,37.8957,114.9042,1.22%,1.89%,1.87%,1.83%,1.83%,1.72%,1.72%,1.64%,1.64%,1.61%,1.61%,1.61%
,Heilongjiang,47.1216,128.7382,3.39%,2.71%,2.69%,1.38%,1.38%,1.37%,1.37%,1.37%,1.37%,1.37%,1.37%,1.35%
,Henan,34.2904,113.3824,0.57%,1.65%,1.72%,1.72%,1.72%,1.72%,1.72%,1.72%,1.72%,1.71%,1.71%,1.69%
,Hong Kong,22.3193,114.1694,0.00%,2.11%,0.56%,0.39%,0.37%,0.58%,0.83%,1.85%,2.06%,1.97%,1.73%,1.59%
,Hubei,30.7378,112.2384,3.51%,4.11%,4.70%,6.62%,6.62%,6.62%,6.62%,6.62%,6.62%,6.62%,6.62%,6.62%
,Hunan,27.6253,111.8569,0.00%,0.39%,0.39%,0.39%,0.39%,0.39%,0.39%,0.39%,0.39%,0.39%,0.39%,0.39%
,Inner Mongolia,43.3782,115.0595,0.00%,0.00%,0.93%,0.50%,0.43%,0.42%,0.39%,0.38%,0.38%,0.34%,0.31%,0.28%
,Jiangsu,33.1402,119.7889,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
,Jiangxi,27.0875,114.9042,0.00%,0.11%,0.11%,0.11%,0.11%,0.11%,0.11%,0.11%,0.11%,0.11%,0.11%,0.11%
,Jilin,43.8379,126.5496,0.00%,1.08%,1.02%,0.90%,1.29%,1.29%,1.27%,1.27%,1.27%,1.27%,1.27%,1.27%
,Liaoning,41.9437,122.529,0.00%,0.83%,1.44%,1.37%,1.34%,1.29%,0.83%,0.76%,0.74%,0.71%,0.69%,0.61%
,Macau,22.1987,113.5439,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
,Ningxia,37.1987,106.1581,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
,Qinghai,35.7448,96.4077,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
,Shaanxi,35.394,109.188,0.00%,0.41%,1.19%,0.98%,0.97%,0.94%,0.93%,0.82%,0.73%,0.66%,0.60%,0.59%
,Shandong,35.894,117.9249,0.00%,0.79%,0.90%,0.89%,0.88%,0.88%,0.88%,0.84%,0.84%,0.83%,0.82%,0.81%
,Shanghai,31.2304,121.4737,0.74%,0.89%,0.98%,1.07%,1.04%,0.98%,0.94%,0.77%,0.70%,0.59%,0.53%,0.47%
,Shanxi,37.2426,111.8569,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
,Sichuan,30.2638,102.8055,0.56%,0.56%,0.55%,0.53%,0.52%,0.50%,0.50%,0.46%,0.43%,0.40%,0.37%,0.35%
,Tianjin,39.3434,117.3616,0.00%,2.21%,1.72%,1.58%,1.56%,1.52%,1.46%,1.31%,1.25%,1.11%,1.00%,0.98%
,Tibet,30.1534,88.7879,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
,Xinjiang,42.5246,87.5396,0.00%,3.95%,3.95%,3.95%,3.95%,3.95%,0.47%,0.33%,0.33%,0.31%,0.31%,0.31%
,Yunnan,24.4753,101.3431,0.00%,1.15%,1.10%,1.08%,1.08%,1.08%,1.05%,1.01%,0.96%,0.94%,0.91%,0.87%
,Zhejiang,29.1416,119.7889,0.00%,0.08%,0.08%,0.08%,0.08%,0.08%,0.08%,0.08%,0.08%,0.08%,0.08%,0.08%
Colombia,,4.5709,-74.2973,0.00%,0.00%,1.77%,4.50%,3.20%,3.41%,3.42%,3.20%,3.13%,2.92%,2.79%,2.64%
Comoros,,-11.6455,43.3333,0.00%,0.00%,0.00%,0.00%,1.89%,2.31%,1.85%,1.65%,1.46%,1.28%,1.15%,0.98%
Congo (Brazzaville),,-0.228,15.8277,0.00%,0.00%,0.00%,4.09%,3.27%,3.40%,1.69%,1.96%,1.75%,1.74%,1.63%,1.55%
Congo (Kinshasa),,-4.0383,21.7587,0.00%,0.00%,8.16%,5.42%,2.35%,2.42%,2.37%,2.56%,2.55%,2.72%,2.61%,3.44%
Costa Rica,,9.7489,-83.7534,0.00%,0.00%,0.58%,0.83%,0.95%,0.46%,0.84%,1.06%,1.19%,1.26%,1.24%,1.28%
Cote d'Ivoire,,7.54,-5.5471,0.00%,0.00%,0.56%,1.10%,1.16%,0.72%,0.64%,0.65%,0.61%,0.61%,0.62%,0.61%
Croatia,,45.1,15.2,0.00%,0.00%,0.69%,3.32%,4.59%,3.85%,2.82%,1.81%,1.69%,1.11%,1.39%,1.79%
Cuba,,21.5218,-77.7812,0.00%,0.00%,3.23%,4.06%,4.06%,3.67%,3.34%,2.33%,2.18%,1.86%,1.63%,1.27%
Cyprus,,35.1264,33.4299,0.00%,0.00%,3.05%,1.76%,1.80%,1.90%,1.71%,1.34%,1.25%,0.60%,0.46%,0.57%
Czechia,,50.07366,14.41854,0.00%,0.00%,0.94%,3.07%,3.45%,2.92%,2.30%,1.72%,0.93%,0.97%,1.59%,1.65%
Denmark,Faroe Islands,61.8926,-6.9118,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
