Country,Providence/State,Latitude,Longitude
Afganistan,,33.93910,67.71000
Albania,,41.15330,20.16830
Algeria,,28.03390,1.65960
Andorra,,42.50630,1.52180
Angola,,-11.20270,17.87390
Antigua and Barbuda,,17.06080,-61.79640
Argentina,,-38.41610,-63.61670
Armenia,,40.06910,45.03820
Australia,Australian Capital Territory,-35.47350,149.01240
,New South Wales,-31.25320,146.92110
,Northern Territory,-19.49140,132.55100
,Queensland,-20.91760,142.70280
,South Australia,-30.00020,136.20920
,Tasmania,-41.45450,145.97070
,Victoria,-37.47130,144.78520
,Western Australia,-27.67280,121.62830
Austria,,47.51620,14.55010
Azerbaijan,,40.14310,47.57690
Bahamas,,25.03430,-77.39630
Bahrain,,26.06670,50.55770
Bangladesh,,23.68500,90.35630
Barbados,,13.19390,-59.54320
Belarus,,53.70980,27.95340
Belgium,,50.50390,4.46990
Belize,,17.18990,-88.49760
Benin,,9.30770,2.31580
Bhutan,,27.51420,90.43360
Bolivia,,-16.29020,-63.58870
Bosnia and Herzegovina,,43.91590,17.67910
Botswana,,-22.32850,24.68490
Brazil,,-14.23500,-51.92530
Brunei,,4.53530,114.72770
Bulgaria,,42.73390,25.48580
Burkina Faso,,12.23830,-1.56160
Burma,,21.91620,95.95600
Burundi,,-3.37310,29.91890
Cabo Verde,,16.53880,-23.04180
Cambodia,,12.56570,104.99100
Cameroon,,7.36970,12.35470
Canada,Alberta,53.93330,-116.57650
,British Columbia,53.72670,-127.64760
,Diamond Princess,0.00000,0.00000
,Grand Princess,0.00000,0.00000
,Manitoba,53.76090,-98.81390
,New Brunswick,46.56530,-66.46190
,Newfoundland and Labrador,53.13550,-57.66040
,Northwest Territories,64.82550,-124.84570
,Nova Scotia,44.68200,-63.74430
,Nunavut,70.29980,-83.10760
,Ontario,51.25380,-85.32320
,Prince Edward Island,46.51070,-63.41680
,Quebec,46.81390,-71.20800
,Repatriated Travellers,0.00000,0.00000
,Saskatchewan,52.93990,-106.45090
,Yukon,64.28230,-135.00000
Central African Republic,,6.61110,20.93940
Chad,,15.45420,18.73220
Chile,,-35.67510,-71.54300
China,Anhui,30.60070,117.92490
,Beijing,39.90420,116.40740
,Chongqing,29.43160,106.91230
,Fujian,26.48370,117.92490
,Gansu,35.75180,104.28610
,Guangdong,23.37900,113.76330
,Guangxi,23.72480,108.80760
,Guizhou,26.84300,107.29030
,Hainan,19.56640,109.94970
,Hebei,37.89570,114.90420
,Heilongjiang,47.12160,128.73820
,Henan,34.29040,113.38240
,Hong Kong,22.31930,114.16940
,Hubei,30.73780,112.23840
,Hunan,27.62530,111.85690
,Inner Mongolia,43.37820,115.05950
,Jiangsu,33.14020,119.78890
,Jiangxi,27.08750,114.90420
,Jilin,43.83790,126.54960
,Liaoning,41.94370,122.52900
,Macau,22.19870,113.54390
,Ningxia,37.19870,106.15810
,Qinghai,35.74480,96.40770
,Shaanxi,35.39400,109.18800
,Shandong,35.89400,117.92490
,Shanghai,31.23040,121.47370
,Shanxi,37.24260,111.85690
,Sichuan,30.26380,102.80550
,Tianjin,39.34340,117.36160
,Tibet,30.15340,88.78790
,Xinjiang,42.52460,87.53960
,Yunnan,24.47530,101.34310
,Zhejiang,29.14160,119.78890
Colombia,,4.57090,-74.29730
Comoros,,-11.64550,43.33330
Congo (Brazzaville),,-0.22800,15.82770
Congo (Kinshasa),,-4.03830,21.75870
Costa Rica,,9.74890,-83.75340
Cote d'Ivoire,,7.54000,-5.54710
Croatia,,45.10000,15.20000
Cuba,,21.52180,-77.78120
Cyprus,,35.12640,33.42990
Czechia,,50.07366,14.41854
Denmark,Faroe Islands,61.89260,-6.91180
,Greenland,71.70690,-42.60430
,Denmark,56.26390,9.50180
Diamond Princess,,0.00000,0.00000
Djibouti,,11.82510,42.59030
Dominica,,15.41500,-61.37100
Dominican Republic,,18.73570,-70.16270
Ecuador,,-1.83120,-78.18340
Egypt,,26.82060,30.80250
El Salvador,,13.79420,-88.89650
Equatorial Guinea,,1.65080,10.26790
Eritrea,,15.17940,39.78230
Estonia,,58.59530,25.01360
Eswatini,,-26.52250,31.46590
Ethiopia,,9.14500,40.48970
